,id,blueTeamTag,redTeamTag,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,rResult,bResult
8212,ESPORTSTMNT03_3219993,unknown team,unknown team,Rayzorac,Xerath,Lykki,Maokai,Water,Jayce,Xëmon,Caitlyn,unknown player,Thresh,unknown player,Nasus,unknown player,Karthus,unknown player,Ahri,unknown player,Xayah,unknown player,Rell,0,1
8213,ESPORTSTMNT03_3219999,NXT,Aurora,Tiger,K'Sante,Ferrari,Poppy,BaoLonG,Orianna,Kisze,Kai'Sa,Kolac,Nautilus,Gilgamesh,Gwen,Gremy,Wukong,Nathell,Syndra,Chams,Ezreal,Mastervegetal,Rakan,0,1
8214,ESPORTSTMNT03_3220077,NRG Kia,Team Liquid,Dhokla,Jax,Contractz,Sejuani,Palafox,Orianna,FBI,Senna,IgNar,Tahm Kench,Summit,K'Sante,Pyosik,Viego,APA,Syndra,Yeon,Kalista,CoreJJ,Rell,0,1
8215,ESPORTSTMNT03_3220092,Cloud9,LNG Esports,Fudge,Renekton,Blaber,Sejuani,EMENES,Syndra,Berserker,Kai'Sa,Zven,Rakan,Zika,Jax,Tarzan,Lee Sin,Scout,Azir,GALA,Tristana,Hang,Alistar,1,0
8216,ESPORTSTMNT03_3220115,Fnatic,GAM Esports,Oscarinin,Renekton,Razork,Rell,Humanoid,Azir,Noah,Xayah,Trymbi,Nautilus,Kiaya,K'Sante,Levi,Sejuani,Kati,Jayce,Slayder,Kai'Sa,Palette,Rakan,0,1
8217,ESPORTSTMNT03_3220119,Gen.G,T1,Doran,Rumble,Peanut,Kha'Zix,Chovy,Akali,Peyz,Xayah,Delight,Rakan,Zeus,Aatrox,Oner,Jarvan IV,Faker,Orianna,Gumayusi,Kai'Sa,Keria,Alistar,0,1
8218,ESPORTSTMNT03_3220154,Dplus KIA,KT Rolster,Canna,Jax,Canyon,Jarvan IV,ShowMaker,Azir,Deft,Ziggs,Kellin,Leona,Kiin,Renekton,Cuzz,Sejuani,Bdd,Orianna,Aiming,Xayah,Lehends,Alistar,1,0
8219,ESPORTSTMNT03_3220278,Kwangdong Freecs Academy,KT Rolster Academy,Allo,Gwen,Pressure,Maokai,Hades,Jayce,Whisper,Aphelios,Quantum,Rakan,TOP,K'Sante,unknown player,Vi,MID,Taliyah,unknown player,Kai'Sa,unknown player,Alistar,0,1
8220,ESPORTSTMNT03_3220285,DRX Academy,Dplus KIA  Academy,unknown player,Gnar,unknown player,Jarvan IV,unknown player,Ahri,unknown player,Draven,unknown player,Thresh,Siwoo,K'Sante,Sharvel,Taliyah,Saint,Yasuo,Jinbeom,Kalista,unknown player,Alistar,1,0
8221,ESPORTSTMNT03_3220295,OKSavingsBank BRION Academy,Liiv SANDBOX Academy,unknown player,Gnar,unknown player,Rell,unknown player,Azir,unknown player,Kai'Sa,Gyosoo,Rakan,unknown player,K'Sante,unknown player,Jarvan IV,Hinata,Orianna,Celina,Draven,Aegis,Ashe,0,1
8222,ESPORTSTMNT03_3220302,Liiv SANDBOX Academy,OKSavingsBank BRION Academy,unknown player,K'Sante,unknown player,Lee Sin,Hinata,Orianna,Celina,Draven,unknown player,Renata Glasc,unknown player,Renekton,unknown player,Sejuani,unknown player,Akali,unknown player,Kai'Sa,Gyosoo,Rell,0,1
8223,ESPORTSTMNT03_3220393,Hanwha Life Esports Academy,Kwangdong Freecs Academy,HaeTae,Renekton,unknown player,Viego,Tempester,Azir,Spike,Kai'Sa,Pooh,Rell,Allo,Jax,Pressure,Nocturne,Hades,Taliyah,Whisper,Xayah,Quantum,Rakan,0,1
8224,ESPORTSTMNT03_3220415,OKSavingsBank BRION Academy,KT Rolster Academy,unknown player,Renekton,unknown player,Rell,unknown player,Azir,unknown player,Sivir,unknown player,Nautilus,TOP,Jax,unknown player,Sejuani,MID,Orianna,unknown player,Kai'Sa,unknown player,Rakan,1,0
